fighter1,fighter2,type
Max Holloway,Khabib Nurmagomedov,Main Card
Rose Namajunas,Joanna Jedrzejczyk,Main Card
Renato Carneiro,Calvin Kattar,Main Card
Anthony Pettis,Michael Chiesa,Main Card
Al Iaquinta,Paul Felder,Main Card

Karolina Kowalkiewicz,Felice Herrig,FS1 Prelims
Ray Borg,Brandon Moreno,FS1 Prelims
Joe Lauzon,Chris Gruetzemacher,FS1 Prelims
Olivier Aubin-Mercier,Evan Dunham,FS1 Prelims

Alex Caceres,Artem Lobov,Early Prelims
Bec Rawlings,Ashlee Evans-Smith,Early Prelims
Devin Clark, Mike Rodriguez,Early Prelims
Zabit Magomedsharipov,Kyle Bochniak,Early Prelims
